RUN	OtherProtocols.SSEProtocol	sseprotocol	1659697410293	 	3.6.1
USER	sse scenario	START	1659697411960
REQUEST		sse_request	1659697411999	1659697412666	OK	 
REQUEST		check_connect	1659697412666	1659697412695	OK	 
REQUEST		checkid	1659697417778	1659697418686	OK	 
REQUEST		checkdata	1659697417778	1659697421633	OK	 
REQUEST		checkid	1659697421635	1659697424633	OK	 
REQUEST		checkdata	1659697421635	1659697425640	OK	 
REQUEST		checkid	1659697425641	1659697427634	OK	 
REQUEST		checkdata	1659697425641	1659697430670	OK	 
REQUEST		checkid	1659697430671	1659697431650	OK	 
REQUEST		checkdata	1659697430671	1659697434646	OK	 
REQUEST		checkid	1659697434647	1659697436639	OK	 
REQUEST		checkdata	1659697434647	1659697438659	OK	 
REQUEST		sse_close	1659697438662	1659697438663	OK	 
USER	sse scenario	END	1659697438666
