RUN	OtherProtocols.SSEProtocol	sseprotocol	1659942445144	 	3.6.1
REQUEST		checkid	1659942505479	1659942508479	OK	 
REQUEST		checkdata	1659942507471	1659942509471	OK	 
REQUEST		checkdata	1659942504474	1659942509473	OK	 
REQUEST		sse_close	1659942509474	1659942509474	OK	 
USER	sse scenario	END	1659942509474
REQUEST		checkid	1659942508474	1659942510466	OK	 
REQUEST		checkid	1659942509472	1659942510472	OK	 
REQUEST		checkdata	1659942505479	1659942511480	OK	 
REQUEST		checkdata	1659942508474	1659942513467	OK	 
REQUEST		checkdata	1659942509472	1659942513472	OK	 
REQUEST		checkid	1659942513473	1659942514472	OK	 
REQUEST		checkid	1659942511481	1659942514480	OK	 
REQUEST		checkid	1659942513468	1659942516467	OK	 
REQUEST		checkdata	1659942511481	1659942516484	OK	 
REQUEST		sse_close	1659942516485	1659942516485	OK	 
USER	sse scenario	END	1659942516485
REQUEST		checkdata	1659942513468	1659942517467	OK	 
REQUEST		checkdata	1659942513473	1659942517476	OK	 
REQUEST		checkid	1659942517468	1659942518468	OK	 
REQUEST		checkid	1659942517477	1659942518474	OK	 
REQUEST		checkdata	1659942517477	1659942519474	OK	 
REQUEST		sse_close	1659942519474	1659942519474	OK	 
USER	sse scenario	END	1659942519475
REQUEST		checkdata	1659942517468	1659942520468	OK	 
REQUEST		checkid	1659942520468	1659942521468	OK	 
REQUEST		checkdata	1659942520468	1659942522468	OK	 
REQUEST		checkid	1659942522469	1659942524469	OK	 
REQUEST		checkdata	1659942522469	1659942526469	OK	 
REQUEST		sse_close	1659942526469	1659942526469	OK	 
USER	sse scenario	END	1659942526470
USER	sse scenario	START	1659942538943
REQUEST		sse_request	1659942538944	1659942539511	OK	 
REQUEST		check_connect	1659942539511	1659942539511	OK	 
USER	sse scenario	START	1659942544925
REQUEST		sse_request	1659942544926	1659942545468	OK	 
REQUEST		check_connect	1659942545468	1659942545468	OK	 
REQUEST		checkid	1659942544527	1659942545511	OK	 
REQUEST		checkdata	1659942544527	1659942546512	OK	 
REQUEST		checkid	1659942546512	1659942548512	OK	 
