RUN	OtherProtocols.SSEProtocol	sseprotocol	1659697422478	 	3.6.1
USER	sse scenario	START	1659697424146
REQUEST		sse_request	1659697424199	1659697424787	OK	 
REQUEST		check_connect	1659697424787	1659697424799	OK	 
REQUEST		checkid	1659697429831	1659697432780	OK	 
REQUEST		checkdata	1659697429831	1659697434767	OK	 
REQUEST		checkid	1659697434769	1659697436822	OK	 
REQUEST		checkdata	1659697434769	1659697438767	OK	 
REQUEST		checkid	1659697438768	1659697440768	OK	 
REQUEST		checkdata	1659697438768	1659697442768	OK	 
REQUEST		checkid	1659697442769	1659697443768	OK	 
REQUEST		checkdata	1659697442769	1659697445768	OK	 
REQUEST		checkid	1659697445769	1659697446769	OK	 
REQUEST		checkdata	1659697445769	1659697447769	OK	 
REQUEST		sse_close	1659697447772	1659697447775	OK	 
USER	sse scenario	END	1659697447778
